sample_id,旧版orig_gen_clip,旧版orig_gen_vclip,新版orig_gen_clip,新版orig_gen_xclip,新旧版本二者取最小orig_gen_clip,新旧版本二者取最小orig_gen_xclip,纯SVD的clip,纯SVD的xclip,纯FI的clip,纯FI的xclip,SVD+FI的clip,SVD+FI的xclip,SVD+FI的clip（门控）,SVD+FI的xclip（门控）,渐进SVD clip,渐进SVD xclip,自适应渐进式SVD clip,自适应渐进式SVD xclip,差值clip,差值xclip,,,,,,,,,
461,0.933224,0.743304,0.87089628,0.675157905,0.87089628,0.675157905,,,,,,,,,0.794259429,0.426747978,0.794259429,0.426747978,-0.076636851,-0.248409927,,,,,,,,,
359,0.855988,0.721193,0.886511624,0.6663239,0.855988,0.6663239,,,,,,,,,0.775342643,0.436071754,0.775342643,0.436071754,-0.080645357,-0.230252146,,,,,,,,,
355,0.946091,0.717146,0.938907325,0.820902348,0.938907325,0.717146,,,,,,,,,0.88187474,0.508605719,0.88187474,0.508605719,-0.057032585,-0.208540281,,,,,,,,,
474,0.908853,0.84088,0.870312214,0.800410807,0.870312214,0.800410807,,,,,,,,,0.803268015,0.586004853,0.810869753,0.620933652,-0.059442461,-0.179477155,,,,,,,,,
653,0.878803,0.875177,0.825127125,0.842598915,0.825127125,0.842598915,,,,,,,,,0.863627791,0.673307061,0.863627791,0.673307061,0.038500666,-0.169291854,,,,,,,,,
695,0.878693,0.679637,0.873629212,0.697442532,0.873629212,0.679637,,,,,,,,,0.884189427,0.522099137,0.884189427,0.522099137,0.010560215,-0.157537863,,,,,,,,,
262,0.881339,0.859811,0.934748888,0.878483295,0.881339,0.859811,,,,,,,,,0.91429472,0.713078022,0.906845868,0.737004519,0.025506868,-0.122806481,,,,,,,,,
654,0.840549,0.842466,0.804894686,0.839931369,0.804894686,0.839931369,,,,,,,,,0.66915983,0.724375606,0.66915983,0.724375606,-0.135734856,-0.115555763,,,,,,,,,
80,0.941456,0.763054,0.946834803,0.675418258,0.941456,0.675418258,,,,,0.9371,0.6326,0.9466,0.6102,0.946607113,0.610215664,0.946607113,0.610215664,0.005151113,-0.065202594,,,,,,,,,
258,0.898195,0.742779,0.898214459,0.682606816,0.898195,0.682606816,,,,,,,,,0.886579156,0.61828804,0.886579156,0.61828804,-0.011615844,-0.064318776,,,,,,,,,
526,0.909364,0.605777,0.926821232,0.648996592,0.909364,0.605777,,,,,,,,,0.924487352,0.543017805,0.924487352,0.543017805,0.015123352,-0.062759195,,,,,,,,,
617,0.897891,0.871821,0.933849156,0.779004812,0.897891,0.779004812,,,,,,,,,0.934020758,0.716462374,0.934020758,0.716462374,0.036129758,-0.062542438,,,,,感知距离,结构相似度 ,光流终点误差,,
351,0.850544,0.673335,0.81783694,0.551118433,0.81783694,0.551118433,,,,,,,,,0.829174757,0.497409314,0.829174757,0.497409314,0.011337817,-0.053709119,,,,,越低越好 (0=完全相同),越高越好 (1=完全相同),越低越好 (0=运动完全相同),,
50,0.926375,0.846648,0.924525261,0.834289372,0.924525261,0.834289372,,,,,0.9137,0.8011,0.9053,0.783,0.915253639,0.84773308,0.905317664,0.782971859,-0.019207597,-0.051317513,,baseline,orig_gen_clip,orig_gen_xclip,LPIPS ,SSIM,OF-EPE ,FVD,
859,0.918214,0.828633,0.930850863,0.73540765,0.918214,0.73540765,,,,,,,,,0.919136882,0.688130379,0.919136882,0.688130379,0.000922882,-0.047277271,,前10个平均值,0.869223517,0.732350941,0.6345016,0.2457036,8.4000487,,
