id	diff_clip	diff_xclip	weighted_diff
135	0.200831883	0.408114387	1.017060657
120	0.089197278	0.377192080	0.843581438
156	0.075021746	0.305104880	0.685231506
578	0.072540701	0.253803245	0.580147191
33	0.124806583	0.205762171	0.536330925
244	0.082065880	0.221275628	0.524617136
159	0.006821454	0.247143588	0.501108630
32	0.087361910	0.201450506	0.490262922
556	0.091894528	0.198199374	0.488293276
879	0.070789933	0.187863329	0.446516591
661	0.156879800	0.141829596	0.440538992
677	-0.003091037	0.215464220	0.427837403
850	0.106291473	0.159760118	0.425811709
674	0.022460020	0.200270789	0.423001598
111	0.048757089	0.185496348	0.419749785
862	0.050549711	0.182020073	0.414589857
629	0.084954206	0.164483785	0.413921776
627	0.091444910	0.158398271	0.408241452
402	0.049969025	0.176323265	0.402615555
431	-0.007849991	0.204581023	0.401312055
406	-0.011945963	0.201411307	0.390876651
735	0.089573443	0.150265813	0.390105069
347	0.029995561	0.179054254	0.388104069
74	0.006876854	0.190315814	0.387508482
800	0.039384398	0.170487619	0.380359636
419	0.005664843	0.186674536	0.379013915
294	0.059811693	0.157920891	0.375653475
780	0.046103016	0.161452782	0.369008580
647	0.107408672	0.128826270	0.365061212
852	0.080042243	0.139450490	0.358943223
569	0.051028532	0.152079202	0.355186936
591	0.098510657	0.124511501	0.347533659
466	0.064032734	0.140348912	0.344730558
278	0.121694010	0.108040552	0.337775114
409	0.044922829	0.142858177	0.330639183
280	0.049607665	0.139846646	0.329300957
679	0.083415448	0.117082794	0.317581036
853	0.039779719	0.134329570	0.308438859
663	0.089701591	0.106370073	0.302441737
146	0.067003918	0.117338161	0.301680240
707	0.039028065	0.130190265	0.299408595
353	0.013370600	0.142210861	0.297792322
73	0.047985196	0.123337150	0.294659496
792	0.013244509	0.139531851	0.292308211
657	0.047743961	0.122091591	0.291927143
491	0.068682528	0.111609980	0.291902488
17	0.055366640	0.115822488	0.287011616
7	0.077322111	0.102113586	0.281549283
704	0.073587611	0.098754055	0.271095721
857	0.030397970	0.119491374	0.269380718
99	0.142323654	0.061696585	0.265716824
344	0.006110593	0.129681210	0.265473013
81	0.031789064	0.115368285	0.262525634
361	0.130741835	0.060263872	0.251269579
729	0.082158744	0.081079126	0.244316996
113	0.035092592	0.104080021	0.243252634
340	0.130523343	0.056126030	0.242775403
867	0.023724815	0.106364699	0.236454213
283	0.008860886	0.107361853	0.223584592
297	0.041298747	0.088901179	0.219101105
858	-0.003240943	0.108048558	0.212856173
85	0.019253099	0.095847414	0.210947927
70	-0.021630168	0.113420325	0.205210482
46	0.022388129	0.090759635	0.203907399
612	0.060382724	0.068795085	0.197972894
178	0.089121245	0.053752661	0.196626567
873	-0.006674795	0.098380804	0.190086813
168	0.084313423	0.051310653	0.186934729
605	0.093109949	0.045938134	0.184986217
557	0.035767198	0.073211073	0.182189344
802	0.046806399	0.066188633	0.179183665
88	0.014125318	0.082255802	0.178636922
844	0.040092051	0.068079385	0.176250821
341	0.002741579	0.080032762	0.162807103
34	0.000371701	0.079062931	0.158497563
