新序号	视频编号	原始MP4文件名	原始TXT文件名
--------------------------------------------------------------------------------
1	d002	shot_01.mp4	shot_01.txt
2	d002	shot_02.mp4	shot_02.txt
3	d002	shot_03.mp4	shot_03.txt
4	d002	shot_04.mp4	shot_04.txt
5	d002	shot_05.mp4	shot_05.txt
6	d002	shot_06.mp4	shot_06.txt
7	d006	shot_01.mp4	shot_01.txt
8	d006	shot_02.mp4	shot_02.txt
9	d006	shot_03.mp4	shot_03.txt
10	d006	shot_04.mp4	shot_04.txt
11	d006	shot_05.mp4	shot_05.txt
12	d006	shot_06.mp4	shot_06.txt
13	d005	shot_01.mp4	shot_01.txt
14	d005	shot_02.mp4	shot_02.txt
15	d005	shot_03.mp4	shot_03.txt
16	d005	shot_04.mp4	shot_04.txt
17	d005	shot_05.mp4	shot_05.txt
18	d005	shot_06.mp4	shot_06.txt
19	a020	shot_01.mp4	shot_01.txt
20	a020	shot_02.mp4	shot_02.txt
21	a020	shot_03.mp4	shot_03.txt
22	a020	shot_04.mp4	shot_04.txt
23	a020	shot_05.mp4	shot_05.txt
24	a020	shot_06.mp4	shot_06.txt
25	a003	shot_01.mp4	shot_01.txt
26	a003	shot_02.mp4	shot_02.txt
27	a003	shot_03.mp4	shot_03.txt
28	a003	shot_04.mp4	shot_04.txt
29	a003	shot_05.mp4	shot_05.txt
30	a003	shot_06.mp4	shot_06.txt
31	d009	shot_01.mp4	shot_01.txt
32	d009	shot_02.mp4	shot_02.txt
33	d009	shot_03.mp4	shot_03.txt
34	d009	shot_04.mp4	shot_04.txt
35	d009	shot_05.mp4	shot_05.txt
36	d009	shot_06.mp4	shot_06.txt
37	l003	shot_01.mp4	shot_01.txt
38	l003	shot_02.mp4	shot_02.txt
39	l003	shot_03.mp4	shot_03.txt
40	l003	shot_04.mp4	shot_04.txt
41	l003	shot_05.mp4	shot_05.txt
42	l003	shot_06.mp4	shot_06.txt
43	l016	shot_01.mp4	shot_01.txt
44	l016	shot_02.mp4	shot_02.txt
45	l016	shot_03.mp4	shot_03.txt
46	l016	shot_04.mp4	shot_04.txt
47	l016	shot_05.mp4	shot_05.txt
48	l016	shot_06.mp4	shot_06.txt
49	l013	shot_01.mp4	shot_01.txt
50	l013	shot_02.mp4	shot_02.txt
51	l013	shot_03.mp4	shot_03.txt
52	l013	shot_04.mp4	shot_04.txt
53	l013	shot_05.mp4	shot_05.txt
54	l013	shot_06.mp4	shot_06.txt
55	d003	shot_01.mp4	shot_01.txt
56	d003	shot_02.mp4	shot_02.txt
57	d003	shot_03.mp4	shot_03.txt
